partner_id,name,type,state,district,address,contact_number,email,navigation_link,active,supported_scheme_types,fund_utilization_status,fund_utilization_note,npa_percentage,eligible_for_new_applications,source_url,data_verified,last_verified,note
CP001,Andhra Pradesh Scheduled Castes Cooperative Finance Corporation Ltd. (APSCCFC),SCA,Andhra Pradesh,,"SP River View Apartments, 3rd Floor, Tadepalli, Amaravathi – 522 501.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP002,Andhra Pradesh State Financial Corporation (APSFC),SCA,Andhra Pradesh,,"APSFC Building, Plot OS No.2, 2nd Cross, 3rd Road, Industrial Park, Vijayawada – 520 007.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP003,Assam State Development Corporation for SCs Ltd. (ASCDC),SCA,Assam,,"Swahid Dilip Hozori Path, Sarumotoria, Dispur, Guwahati – 781 006.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP004,Bihar State SCs Co-operative Development Corporation Ltd. (BSSCCDC),SCA,Bihar,,"RN-212, Officers Colony (Block-A), Bailey Road, Patna – 800 001.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP005,"Chandigarh SCs, BCs & Minorities Financial & Development Corporation Ltd. (CSCFDC)",SCA,Chandigarh,,"3rd Floor, Additional Town Hall Building, Sector-17-C, Chandigarh-160 017.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP006,Chhatisgarh State Antavasayee Sahkari Fin. & Dev. Corpn. (CGSCFDC),SCA,Chhattisgarh,,"4th Floor, Business Complex, Chhattisgarh Housing Board Bhawan, Naya Raipur, Chhattisgarh - 492101.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP007,"Dadra & Nagar Haveli, Daman & Diu SCs/STs/OBCs & Minorities Financial & Development Corporation (DNDSFDC)",SCA,"Dadra & Nagar Haveli, Daman & Diu",,"Ground Floor, Right Wing, New Collectorate Building, Near Electricity Department, Silvassa – 396 230.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP008,Delhi SC/ST/OBC/Minorities & Handicapped Financial & Development Corporation (DSFDC),SCA,Delhi,,"Ambedkar Bhawan, Sector-16, (Opp. Sector-11), Rohini, Delhi – 110 085.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP009,Gujarat SCs Development Corporation (GSCDC),SCA,Gujarat,,"Dr Jivraj Mehta Bhawan, Block – 10, II Floor, Old Sachivalaya, Gandhinagar – 382 010.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
CP010,Dr. Ambedkar Antyodaya Vikas Nigam (S.C.) (DAAVN),SCA,Gujarat,,"Karmayogi Bhavan, Block No. 2, D-2 Wing, 4th Floor, Sector -10/B, Gandhinagar, Gujarat.",,,,True,Micro Finance Scheme (MFS); Term Loan; Educational Loan Scheme (ELS),Normal,Not published by NSFDC per-partner; default assumed Normal until real NPA/fund-utilization data is available.,,True,"nsfdc.nic.in (Channel Partners PDF lists, provided by team)",True,2026-09-07,
